speed_arr[177], 0x00000CD7,
speed_arr[178], 0x00000CD7,
speed_arr[179], 0x00000CD7,
speed_arr[180], 0x00000CD7,
speed_arr[181], 0x00000CD7,
speed_arr[182], 0x00000CD7,
speed_arr[183], 0x00000CD7,
speed_arr[184], 0x00000CD7,
speed_arr[185], 0x00000CD8,
speed_arr[186], 0x00000CD8,
speed_arr[187], 0x00000CD9,
speed_arr[188], 0x00000CD9,
speed_arr[189], 0x00000CD9,
speed_arr[190], 0x00000CD9,
speed_arr[191], 0x00000CD9,
speed_arr[192], 0x00000CD9,
speed_arr[193], 0x00000CD8,
speed_arr[194], 0x00000CD8,
speed_arr[195], 0x00000CD7,
speed_arr[196], 0x00000CD7,
speed_arr[197], 0x00000CD7,
speed_arr[198], 0x00000CD7,
speed_arr[199], 0x00000CD7,
speed_arr[200], 0x00000CD7,
speed_arr[201], 0x00000CD7,
speed_arr[202], 0x00000CD7,
speed_arr[203], 0x00000CD8,
speed_arr[204], 0x00000CD8,
speed_arr[205], 0x00000CD8,
speed_arr[206], 0x00000CD9,
speed_arr[207], 0x00000CD9,
speed_arr[208], 0x00000CD9,
speed_arr[209], 0x00000CD9,
speed_arr[210], 0x00000CD9,
speed_arr[211], 0x00000CD9,
speed_arr[212], 0x00000CD9,
speed_arr[213], 0x00000CD9,
speed_arr[214], 0x00000CD8,
speed_arr[215], 0x00000CD8,
speed_arr[216], 0x00000CD8,
speed_arr[217], 0x00000CD8,
speed_arr[218], 0x00000CD8,
speed_arr[219], 0x00000CD8,
speed_arr[220], 0x00000CD8,
speed_arr[221], 0x00000CD8,
speed_arr[222], 0x00000CD8,
speed_arr[223], 0x00000CD9,
speed_arr[224], 0x00000CD9,
speed_arr[225], 0x00000CDA,
speed_arr[226], 0x00000CDA,
speed_arr[227], 0x00000CDA,
speed_arr[228], 0x00000CDA,
speed_arr[229], 0x00000CDB,
speed_arr[230], 0x00000CDB,
speed_arr[231], 0x00000CDC,
speed_arr[232], 0x00000CDD,
speed_arr[233], 0x00000CDE,
speed_arr[234], 0x00000CDF,
speed_arr[235], 0x00000CE1,
speed_arr[236], 0x00000CE2,
speed_arr[237], 0x00000CE4,
speed_arr[238], 0x00000CE6,
speed_arr[239], 0x00000CE8,
speed_arr[240], 0x00000CE9,
speed_arr[241], 0x00000CEB,
speed_arr[242], 0x00000CEC,
speed_arr[243], 0x00000CED,
speed_arr[244], 0x00000CEE,
speed_arr[245], 0x00000CEE,
speed_arr[246], 0x00000CEF,
speed_arr[247], 0x00000CEF,
speed_arr[248], 0x00000CEF,
speed_arr[249], 0x00000CEF,
speed_arr[250], 0x00000CEF,
speed_arr[251], 0x00000CEE,
speed_arr[252], 0x00000CEE,
speed_arr[253], 0x00000CED,
speed_arr[254], 0x00000CED,
speed_arr[255], 0x00000CED,
speed_arr[256], 0x00000CED,
speed_arr[257], 0x00000CED,
speed_arr[258], 0x00000CED,
speed_arr[259], 0x00000CED,
speed_arr[260], 0x00000CED,
speed_arr[261], 0x00000CEE,
speed_arr[262], 0x00000CEE,
speed_arr[263], 0x00000CEF,
speed_arr[264], 0x00000CEF,
speed_arr[265], 0x00000CEF,
speed_arr[266], 0x00000CF0,
speed_arr[267], 0x00000CF0,
speed_arr[268], 0x00000CF0,
speed_arr[269], 0x00000CEF,
speed_arr[270], 0x00000CEF,
speed_arr[271], 0x00000CEF,
speed_arr[272], 0x00000CEE,
speed_arr[273], 0x00000CEE,
speed_arr[274], 0x00000CEE,
speed_arr[275], 0x00000CED,
speed_arr[276], 0x00000CED,
speed_arr[277], 0x00000CED,
speed_arr[278], 0x00000CED,
speed_arr[279], 0x00000CEE,
speed_arr[280], 0x00000CEE,
speed_arr[281], 0x00000CEE,
speed_arr[282], 0x00000CEF,
speed_arr[283], 0x00000CEF,
speed_arr[284], 0x00000CEF,
speed_arr[285], 0x00000CF0,
speed_arr[286], 0x00000CF0,
speed_arr[287], 0x00000CF0,
speed_arr[288], 0x00000CEF,
speed_arr[289], 0x00000CEF,
speed_arr[290], 0x00000CEF,
speed_arr[291], 0x00000CEE,
speed_arr[292], 0x00000CEE,
speed_arr[293], 0x00000CED,
speed_arr[294], 0x00000CED,
speed_arr[295], 0x00000CED,
speed_arr[296], 0x00000CED,
speed_arr[297], 0x00000CED,
speed_arr[298], 0x00000CED,
speed_arr[299], 0x00000CEE,
speed_arr[300], 0x00000CEE,
speed_arr[301], 0x00000CEF,
speed_arr[302], 0x00000CEF,
speed_arr[303], 0x00000CF0,
speed_arr[304], 0x00000CF0,
speed_arr[305], 0x00000CF0,
speed_arr[306], 0x00000CF0,
speed_arr[307], 0x00000CF0,
speed_arr[308], 0x00000CF0,
speed_arr[309], 0x00000CEF,
speed_arr[310], 0x00000CEF,
speed_arr[311], 0x00000CEF,
speed_arr[312], 0x00000CEE,
speed_arr[313], 0x00000CEE,
speed_arr[314], 0x00000CEE,
speed_arr[315], 0x00000CEE,
speed_arr[316], 0x00000CEE,
speed_arr[317], 0x00000CEF,
speed_arr[318], 0x00000CEF,
speed_arr[319], 0x00000CF0,
speed_arr[320], 0x00000CF0,
speed_arr[321], 0x00000CF0,
speed_arr[322], 0x00000CF1,
speed_arr[323], 0x00000CF1,
speed_arr[324], 0x00000CF1,
speed_arr[325], 0x00000CF2,
speed_arr[326], 0x00000CF2,
speed_arr[327], 0x00000CF3,
speed_arr[328], 0x00000CF3,
speed_arr[329], 0x00000CF5,
speed_arr[330], 0x00000CF6,
speed_arr[331], 0x00000CF7,
speed_arr[332], 0x00000CF9,
speed_arr[333], 0x00000CFB,
speed_arr[334], 0x00000CFC,
speed_arr[335], 0x00000CFE,
speed_arr[336], 0x00000D00,
speed_arr[337], 0x00000D01,
speed_arr[338], 0x00000D02,
speed_arr[339], 0x00000D03,
speed_arr[340], 0x00000D03,
speed_arr[341], 0x00000D04,
speed_arr[342], 0x00000D04,
speed_arr[343], 0x00000D04,
speed_arr[344], 0x00000D04,
speed_arr[345], 0x00000D04,
speed_arr[346], 0x00000D04,
speed_arr[347], 0x00000D03,
speed_arr[348], 0x00000D03,
speed_arr[349], 0x00000D02,
speed_arr[350], 0x00000D02,
speed_arr[351], 0x00000D01,
speed_arr[352], 0x00000D01,
speed_arr[353], 0x00000D01,
speed_arr[354], 0x00000D01,
speed_arr[355], 0x00000D01,
speed_arr[356], 0x00000D01,
speed_arr[357], 0x00000D01,
speed_arr[358], 0x00000D02,
speed_arr[359], 0x00000D02,
speed_arr[360], 0x00000D03,
speed_arr[361], 0x00000D03,
speed_arr[362], 0x00000D03,
speed_arr[363], 0x00000D03,
speed_arr[364], 0x00000D03,
speed_arr[365], 0x00000D02,
speed_arr[366], 0x00000D02,
speed_arr[367], 0x00000D02,
speed_arr[368], 0x00000D01,
speed_arr[369], 0x00000D01,
speed_arr[370], 0x00000D00,
speed_arr[371], 0x00000D00,
speed_arr[372], 0x00000D00,
speed_arr[373], 0x00000D00,
speed_arr[374], 0x00000D00,
speed_arr[375], 0x00000D00,
speed_arr[376], 0x00000D01,
speed_arr[377], 0x00000D01,
speed_arr[378], 0x00000D01,
speed_arr[379], 0x00000D02,
speed_arr[380], 0x00000D02,
speed_arr[381], 0x00000D02,
speed_arr[382], 0x00000D02,
speed_arr[383], 0x00000D02,
speed_arr[384], 0x00000D02,
speed_arr[385], 0x00000D01,
speed_arr[386], 0x00000D01,
speed_arr[387], 0x00000D00,
speed_arr[388], 0x00000D00,
speed_arr[389], 0x00000D00,
speed_arr[390], 0x00000CFF,
speed_arr[391], 0x00000CFF,
speed_arr[392], 0x00000CFF,
speed_arr[393], 0x00000CFF,
speed_arr[394], 0x00000CFF,
speed_arr[395], 0x00000CFF,
speed_arr[396], 0x00000D00,
speed_arr[397], 0x00000D00,
speed_arr[398], 0x00000D00,
speed_arr[399], 0x00000D01,
speed_arr[400], 0x00000D01,
speed_arr[401], 0x00000D01,
speed_arr[402], 0x00000D00,
speed_arr[403], 0x00000D00,
speed_arr[404], 0x00000D00,
speed_arr[405], 0x00000CFF,
speed_arr[406], 0x00000CFF,
speed_arr[407], 0x00000CFE,
speed_arr[408], 0x00000CFE,
speed_arr[409], 0x00000CFD,
speed_arr[410], 0x00000CFD,
speed_arr[411], 0x00000CFD,
speed_arr[412], 0x00000CFD,
speed_arr[413], 0x00000CFE,
speed_arr[414], 0x00000CFE,
speed_arr[415], 0x00000CFF,
speed_arr[416], 0x00000D00,
speed_arr[417], 0x00000D02,
speed_arr[418], 0x00000D03,
speed_arr[419], 0x00000D05,
speed_arr[420], 0x00000D07,
speed_arr[421], 0x00000D08,
speed_arr[422], 0x00000D0A,
speed_arr[423], 0x00000D0B,
speed_arr[424], 0x00000D0C,
speed_arr[425], 0x00000D0D,
speed_arr[426], 0x00000D0E,
speed_arr[427], 0x00000D0F,
speed_arr[428], 0x00000D0F,
speed_arr[429], 0x00000D0F,
speed_arr[430], 0x00000D0F,
speed_arr[431], 0x00000D0F,
speed_arr[432], 0x00000D0F,
speed_arr[433], 0x00000D0F,
speed_arr[434], 0x00000D10,
speed_arr[435], 0x00000D10,
speed_arr[436], 0x00000D10,
speed_arr[437], 0x00000D10,
speed_arr[438], 0x00000D11,
speed_arr[439], 0x00000D11,
speed_arr[440], 0x00000D11,
speed_arr[441], 0x00000D11,
speed_arr[442], 0x00000D10,
speed_arr[443], 0x00000D10,
speed_arr[444], 0x00000D0F,
speed_arr[445], 0x00000D0F,
speed_arr[446], 0x00000D0E,
speed_arr[447], 0x00000D0E,
speed_arr[448], 0x00000D0E,
speed_arr[449], 0x00000D0D,
speed_arr[450], 0x00000D0D,
speed_arr[451], 0x00000D0D,
speed_arr[452], 0x00000D0D,
speed_arr[453], 0x00000D0D,
speed_arr[454], 0x00000D0E,
speed_arr[455], 0x00000D0E,
speed_arr[456], 0x00000D0E,
speed_arr[457], 0x00000D0E,
speed_arr[458], 0x00000D0E,
speed_arr[459], 0x00000D0E,
speed_arr[460], 0x00000D0E,
speed_arr[461], 0x00000D0E,
speed_arr[462], 0x00000D0D,
speed_arr[463], 0x00000D0D,
speed_arr[464], 0x00000D0C,
speed_arr[465], 0x00000D0B,
speed_arr[466], 0x00000D0B,
speed_arr[467], 0x00000D0B,
speed_arr[468], 0x00000D0A,
speed_arr[469], 0x00000D0A,
speed_arr[470], 0x00000D0B,
speed_arr[471], 0x00000D0B,
speed_arr[472], 0x00000D0B,
speed_arr[473], 0x00000D0C,
speed_arr[474], 0x00000D0C,
speed_arr[475], 0x00000D0C,
speed_arr[476], 0x00000D0D,
speed_arr[477], 0x00000D0D,
speed_arr[478], 0x00000D0D,
speed_arr[479], 0x00000D0C,
speed_arr[480], 0x00000D0C,
speed_arr[481], 0x00000D0C,
speed_arr[482], 0x00000D0B,
speed_arr[483], 0x00000D0B,
speed_arr[484], 0x00000D0A,
speed_arr[485], 0x00000D0A,
speed_arr[486], 0x00000D0A,
speed_arr[487], 0x00000D0A,
speed_arr[488], 0x00000D0A,
speed_arr[489], 0x00000D0A,
speed_arr[490], 0x00000D0A,
speed_arr[491], 0x00000D0A,
speed_arr[492], 0x00000D0B,
speed_arr[493], 0x00000D0B,
speed_arr[494], 0x00000D0B,
speed_arr[495], 0x00000D0C,
speed_arr[496], 0x00000D0C,
speed_arr[497], 0x00000D0C,
speed_arr[498], 0x00000D0C,
speed_arr[499], 0x00000D0C,
speed_arr[500], 0x00000D0B,
speed_arr[501], 0x00000D0B,
speed_arr[502], 0x00000D0B,
speed_arr[503], 0x00000D0A,
speed_arr[504], 0x00000D09,
speed_arr[505], 0x00000D09,
speed_arr[506], 0x00000D09,
speed_arr[507], 0x00000D09,
speed_arr[508], 0x00000D09,
speed_arr[509], 0x00000D09,
